 Sl No., Date, Time,  No2 , Co2 , CO , pm1 , pm2_5, pm10 , Humidity , Temperature ,
314, 2017/07/01 , 16:40 ,0.13,176.22,44.1,24.35,52.44,55.09,67.27,33.56,
315, 2017/07/01 , 16:41 ,0.13,175.28,44.11,22.94,52.18,54.8,67.29,33.56,
316, 2017/07/01 , 16:42 ,0.13,174.13,44.11,22.15,50.72,53.76,67.28,33.57,
317, 2017/07/01 , 16:43 ,0.13,172.3,44.14,23.46,52.44,55.41,67.29,33.57,
318, 2017/07/01 , 16:44 ,0.13,172.11,44.1,23.02,51.83,54.52,67.3,33.56,
319, 2017/07/01 , 16:45 ,0.13,172.69,44.12,24.83,55.55,58.1,67.31,33.57,
320, 2017/07/01 , 16:46 ,0.13,171.96,44.08,24.05,53.58,55.86,67.31,33.57,
321, 2017/07/01 , 16:47 ,0.13,171.25,44.15,25.59,53.27,55.33,67.31,33.57,
322, 2017/07/01 , 16:48 ,0.13,169.68,44.12,23.85,54.13,56.85,67.33,33.56,
323, 2017/07/01 , 16:49 ,0.13,169.65,44.12,23.16,53.01,55.08,67.33,33.56,
324, 2017/07/01 , 16:50 ,0.13,169.52,44.12,24.22,53.59,56.4,67.34,33.55,
325, 2017/07/01 , 16:51 ,0.13,166.42,44.11,25.56,54.48,57.39,67.34,33.55,
326, 2017/07/01 , 16:52 ,0.13,166.71,44.09,23.26,54.07,56.79,67.35,33.55,
327, 2017/07/01 , 16:53 ,0.13,166.98,44.13,24.88,54.54,56.46,67.37,33.55,
328, 2017/07/01 , 16:54 ,0.13,165.71,44.13,22.01,52.21,55.85,67.39,33.55,
329, 2017/07/01 , 16:55 ,0.13,164.71,44.14,25.51,55.15,58.32,67.41,33.55,
330, 2017/07/01 , 16:56 ,0.13,165.46,44.13,24.04,53.61,57.15,67.38,33.55,
331, 2017/07/01 , 16:57 ,0.13,165.47,44.12,24.4,53.39,56.59,67.39,33.56,
332, 2017/07/01 , 16:58 ,0.13,163.91,44.13,26.8,57.65,61,67.39,33.55,
333, 2017/07/01 , 16:59 ,0.13,163.55,44.12,25.53,55.01,58.79,67.38,33.55,
334, 2017/07/01 , 17:0 ,0.13,163.46,44.11,24.64,55.33,59.14,67.41,33.54,
335, 2017/07/01 , 17:1 ,0.13,163.71,44.14,26.15,54.36,58.24,67.41,33.53,
336, 2017/07/01 , 17:2 ,0.13,165.09,44.13,26.61,56,59.05,67.42,33.53,
337, 2017/07/01 , 17:3 ,0.13,165.63,44.11,25.63,56.11,59.68,67.44,33.53,
338, 2017/07/01 , 17:4 ,0.13,165.71,44.17,25.95,56.96,61.41,67.44,33.54,
339, 2017/07/01 , 17:5 ,0.13,164.55,44.16,27.29,57.72,60.86,67.44,33.53,
340, 2017/07/01 , 17:6 ,0.13,164.76,44.15,24.9,56.3,60.44,67.45,33.54,
341, 2017/07/01 , 17:7 ,0.13,164.39,44.14,25.16,57.52,61.38,67.47,33.54,
342, 2017/07/01 , 17:8 ,0.13,163.84,44.16,24.97,55.14,58.78,67.48,33.53,
343, 2017/07/01 , 17:9 ,0.13,164.14,44.16,25.72,57.64,61.06,67.49,33.54,
344, 2017/07/01 , 17:10 ,0.13,163.49,44.13,26.38,58,61.24,67.5,33.54,
345, 2017/07/01 , 17:11 ,0.13,162.84,44.13,27.87,58.14,61.06,67.51,33.53,
346, 2017/07/01 , 17:12 ,0.13,163.55,44.12,28.25,61.18,65.54,67.52,33.53,
347, 2017/07/01 , 17:13 ,0.13,162.99,44.14,27.45,61.79,65.19,67.54,33.53,
348, 2017/07/01 , 17:14 ,0.13,161.99,44.19,27.81,60.37,65.26,67.54,33.53,
349, 2017/07/01 , 17:15 ,0.13,163.46,44.13,26.9,61.19,65.7,67.55,33.54,
350, 2017/07/01 , 17:16 ,0.13,162.92,44.15,30.26,62.14,65.14,67.57,33.54,
351, 2017/07/01 , 17:17 ,0.13,162.94,44.15,25.78,61.3,65.13,67.57,33.53,
352, 2017/07/01 , 17:18 ,0.13,163.69,44.16,27.29,61.76,65.98,67.6,33.54,
353, 2017/07/01 , 17:19 ,0.13,161.84,44.17,25.79,59.44,63.23,67.58,33.54,
354, 2017/07/01 , 17:20 ,0.13,162.87,44.16,27.54,62.42,66.85,67.59,33.53,
355, 2017/07/01 , 17:21 ,0.13,162.76,44.16,28.75,63.93,68.53,67.62,33.54,
356, 2017/07/01 , 17:22 ,0.13,161.02,44.13,29.03,62.67,66.13,67.63,33.53,
357, 2017/07/01 , 17:23 ,0.13,160.58,44.17,30.92,66.25,70.86,67.65,33.53,
358, 2017/07/01 , 17:24 ,0.13,159.92,44.13,30.85,67.86,73.48,67.66,33.53,
359, 2017/07/01 , 17:25 ,0.13,159.53,44.14,31.36,69.96,75,67.68,33.53,
360, 2017/07/01 , 17:26 ,0.13,159.54,44.12,36.25,69.47,73.15,67.69,33.53,
361, 2017/07/01 , 17:27 ,0.13,159.62,44.14,31.22,71.24,76.56,67.7,33.53,
362, 2017/07/01 , 17:28 ,0.13,159.82,44.15,30.88,71.03,77.56,67.72,33.52,
363, 2017/07/01 , 17:29 ,0.13,159,44.17,33,73.99,79.11,67.73,33.52,
364, 2017/07/01 , 17:30 ,0.13,160.15,44.11,32.08,73.18,80.65,67.75,33.52, 17:30 
365, 2017/07/01 , 17:31 ,0.13,158.99,44.15,31.34,72.77,77.26,67.76,33.52,
366, 2017/07/01 , 17:32 ,0.13,158.4,44.16,33.39,73.37,79.46,67.78,33.51,
367, 2017/07/01 , 17:33 ,0.13,159.07,44.15,31.8,75.23,81.42,67.78,33.51,
368, 2017/07/01 , 17:34 ,0.13,159.22,44.12,32.52,74.99,80.36,67.8,33.51,
369, 2017/07/01 , 17:35 ,0.13,159.53,44.13,32.77,75.45,81.22,67.8,33.51,
370, 2017/07/01 , 17:36 ,0.13,158.78,44.12,33.78,74.56,80.1,67.8,33.51,
371, 2017/07/01 , 17:37 ,0.13,158.5,44.12,33.6,79.28,85.03,67.79,33.51,
372, 2017/07/01 , 17:38 ,0.13,157.86,44.14,35.19,78.44,85.76,67.81,33.51,
373, 2017/07/01 , 17:39 ,0.13,157.88,44.13,36.59,81.53,88.53,67.8,33.52,
374, 2017/07/01 , 17:40 ,0.13,157.27,44.14,36.03,79.42,83.88,67.82,33.52,
375, 2017/07/01 , 17:41 ,0.13,157.42,44.14,38.77,82.04,88.72,67.83,33.52,
376, 2017/07/01 , 17:42 ,0.13,156.13,44.14,36.49,83.42,90.24,67.84,33.52,
377, 2017/07/01 , 17:43 ,0.13,157.78,44.14,36.51,83.42,89.88,67.87,33.52,
378, 2017/07/01 , 17:44 ,0.13,157.49,44.12,37.36,83.76,88.55,67.87,33.51,
379, 2017/07/01 , 17:45 ,0.13,156.44,44.18,34.77,80.38,86.31,67.89,33.51,
380, 2017/07/01 , 17:46 ,0.13,156.52,44.15,36.04,82.17,90.54,67.91,33.51,
381, 2017/07/01 , 17:47 ,0.13,156.97,44.15,36.66,82.43,89.23,67.92,33.51,
382, 2017/07/01 , 17:48 ,0.13,156.66,44.17,36.82,83.49,90.13,67.95,33.52,
383, 2017/07/01 , 17:49 ,0.13,157.42,44.15,38.56,85.24,92.22,67.96,33.51,
384, 2017/07/01 , 17:50 ,0.13,157.64,44.17,37.15,84.81,92.6,67.97,33.51,
385, 2017/07/01 , 17:51 ,0.13,158.41,44.15,37.67,86.22,93.29,68,33.5,
386, 2017/07/01 , 17:52 ,0.13,157.95,44.13,38.42,88.98,96.17,67.99,33.51,
387, 2017/07/01 , 17:53 ,0.13,158.62,44.16,39.14,89.04,95.47,67.99,33.51,
388, 2017/07/01 , 17:54 ,0.13,158.25,44.16,38.62,86.89,92.66,68.01,33.51,
389, 2017/07/01 , 17:55 ,0.13,158.55,44.16,38.92,86.18,92.92,68.02,33.5,
390, 2017/07/01 , 17:56 ,0.13,158.24,44.15,38.31,86.13,92.2,68.02,33.51,
391, 2017/07/01 , 17:57 ,0.13,158.02,44.18,38.79,90.73,97.55,68.02,33.51,
392, 2017/07/01 , 17:58 ,0.13,159.1,44.2,38.44,88.02,94.13,68.03,33.5,
393, 2017/07/01 , 17:59 ,0.13,158.85,44.2,38.65,86.51,93.43,68.05,33.51,
394, 2017/07/01 , 18:0 ,0.13,157.72,44.19,39.29,87.6,94.64,68.05,33.5,
395, 2017/07/01 , 18:1 ,0.13,158.88,44.2,37.77,87.54,96.26,68.05,33.5,
396, 2017/07/01 , 18:2 ,0.13,157.19,44.19,39.16,89.04,96.62,68.07,33.5,
397, 2017/07/01 , 18:3 ,0.13,157.8,44.18,39.45,91.09,97.29,68.07,33.5,
398, 2017/07/01 , 18:4 ,0.13,157.8,44.18,39.36,90.73,97.8,68.08,33.5,
399, 2017/07/01 , 18:5 ,0.13,158.26,44.18,44.09,88.22,93.58,68.1,33.49,
400, 2017/07/01 , 18:6 ,0.13,158.1,44.17,39.03,88.12,95.59,68.11,33.5,
401, 2017/07/01 , 18:7 ,0.13,156.81,44.18,39,88.69,97.11,68.11,33.49,
402, 2017/07/01 , 18:8 ,0.13,158.87,44.2,38.72,89.02,94.8,68.13,33.49,
403, 2017/07/01 , 18:9 ,0.13,159.45,44.21,39.94,91.58,98.97,68.12,33.5,
404, 2017/07/01 , 18:10 ,0.13,158.55,44.18,37.88,89.25,97.26,68.13,33.5,
405, 2017/07/01 , 18:11 ,0.13,159.24,44.23,38.61,86.88,94.37,68.16,33.5,
406, 2017/07/01 , 18:12 ,0.13,158.93,44.18,38.85,89.13,94.86,68.2,33.5,
407, 2017/07/01 , 18:13 ,0.13,158.56,44.16,37.69,88.67,96.61,68.22,33.5,
408, 2017/07/01 , 18:14 ,0.13,158.92,44.18,38.72,89.5,96.7,68.24,33.5,
409, 2017/07/01 , 18:15 ,0.13,157.35,44.19,37.15,85.98,93.23,68.24,33.51, 18:15 
